level,fib,full_n,full_close_above,full_close_below,full_touch_above,full_touch_below,2020p_n,2020p_close_above,2020p_close_below,2020p_touch_above,2020p_touch_below,2025p_n,2025p_close_above,2025p_close_below,2025p_touch_above,2025p_touch_below
trigger,0.236,1366,0.40483162518301613,0.3008784773060029,0.7166910688140556,0.6420204978038068,328,0.4481707317073171,0.3079268292682927,0.7103658536585366,0.6128048780487805,67,0.3880597014925373,0.29850746268656714,0.7164179104477612,0.6716417910447762
0382,0.382,1366,0.3206442166910688,0.23865300146412885,0.5534407027818448,0.49487554904831627,328,0.35060975609756095,0.2530487804878049,0.5701219512195121,0.4969512195121951,67,0.34328358208955223,0.2835820895522388,0.582089552238806,0.5074626865671642
0618,0.618,1366,0.19326500732064422,0.14348462664714495,0.3257686676427526,0.31551976573938506,328,0.20426829268292682,0.1676829268292683,0.3597560975609756,0.34146341463414637,67,0.208955223880597,0.19402985074626866,0.373134328358209,0.373134328358209
0786,0.786,1366,0.11859443631039532,0.10468521229868229,0.19838945827232796,0.22108345534407028,328,0.14634146341463414,0.11890243902439024,0.2225609756097561,0.24695121951219512,67,0.13432835820895522,0.11940298507462686,0.208955223880597,0.26865671641791045
100,1.0,1366,0.06222547584187409,0.05929721815519766,0.10395314787701318,0.13103953147877012,328,0.07621951219512195,0.06097560975609756,0.11890243902439024,0.14634146341463414,67,0.1044776119402985,0.04477611940298507,0.13432835820895522,0.1791044776119403
