Index,week_end,entry,short_k,wing_k,width,credit,settle,pnl,vix,gap_below_trigger,entry_d,stopped,exit_debit,pnl_stop
0,2012-06-08,2012-06-04,1235.0,1210.0,25.0,1.4,1325.6600341796875,137.36,26.350000381469727,False,2012-06-04,False,,137.36
1,2012-06-22,2012-06-18,1300.0,1275.0,25.0,1.4,1335.02001953125,137.36,21.76000022888184,False,2012-06-18,False,,137.36
2,2012-07-06,2012-07-02,1320.0,1295.0,25.0,0.3,1354.6800537109375,27.360000000000003,17.6200008392334,False,2012-07-02,False,,27.360000000000003
3,2012-07-13,2012-07-09,1315.0,1285.0,30.0,1.2,1356.780029296875,117.36,18.170000076293945,False,2012-07-09,False,,117.36
4,2012-07-27,2012-07-23,1320.0,1295.0,25.0,3.2,1385.969970703125,317.36,20.40999984741211,False,2012-07-23,False,,317.36
5,2012-08-03,2012-07-30,1345.0,1320.0,25.0,0.9000000000000001,1390.989990234375,87.36000000000001,17.549999237060547,False,2012-07-30,False,,87.36000000000001
6,2012-08-10,2012-08-06,1350.0,1325.0,25.0,0.2,1405.8699951171875,17.36,15.850000381469728,False,2012-08-06,False,,17.36
7,2012-08-24,2012-08-20,1380.0,1355.0,25.0,0.2999999999999999,1411.1300048828125,27.359999999999992,14.109999656677246,False,2012-08-20,False,,27.359999999999992
8,2012-08-31,2012-08-27,1375.0,1350.0,25.0,0.4999999999999999,1406.5799560546875,47.35999999999999,16.149999618530273,False,2012-08-27,False,,47.35999999999999
9,2012-09-07,2012-09-04,1370.0,1345.0,25.0,0.5499999999999999,1437.9200439453125,52.35999999999999,18.64999961853028,False,2012-09-04,False,,52.35999999999999
10,2012-09-14,2012-09-10,1400.0,1380.0,20.0,0.6,1465.77001953125,57.36,14.270000457763672,False,2012-09-10,False,,57.36
11,2012-10-12,2012-10-08,1425.0,1405.0,20.0,0.6000000000000001,1428.5899658203125,57.36000000000001,15.1899995803833,False,2012-10-08,False,,57.36000000000001
12,2012-10-26,2012-10-22,1395.0,1375.0,20.0,0.8999999999999999,1411.93994140625,87.35999999999999,17.440000534057617,False,2012-10-22,False,,87.35999999999999
13,2012-11-02,2012-10-31,1375.0,1355.0,20.0,0.25,1414.199951171875,22.36,17.68000030517578,False,2012-10-31,False,,22.36
