date,adj
2012-06-01,100.0061264038086
2012-06-04,99.95932006835938
2012-06-05,100.71624755859375
2012-06-06,102.97918701171875
2012-06-07,103.04158782958984
2012-06-08,103.86094665527344
2012-06-11,102.54219055175781
2012-06-12,103.720458984375
2012-06-13,103.05719757080078
2012-06-14,104.14964294433594
2012-06-15,105.21482849121094
2012-06-18,105.41874694824219
2012-06-19,106.43840789794922
2012-06-20,106.265869140625
2012-06-21,103.88140106201172
2012-06-22,104.68147277832031
2012-06-25,103.0029067993164
2012-06-26,103.52058410644531
2012-06-27,104.4539794921875
2012-06-28,104.15592193603516
2012-06-29,106.75218200683594
2012-07-02,107.07372283935547
2012-07-03,107.77971649169922
2012-07-05,107.29334259033203
2012-07-06,106.2737045288086
2012-07-09,106.140380859375
2012-07-10,105.21482849121094
2012-07-11,105.23052978515625
2012-07-12,104.72065734863281
2012-07-13,106.47765350341797
2012-07-16,106.22663116455078
2012-07-17,106.95610046386719
2012-07-18,107.74832153320312
2012-07-19,108.03069305419922
2012-07-20,107.04236602783203
2012-07-23,105.95995330810547
2012-07-24,105.05008697509766
2012-07-25,105.07365417480469
2012-07-26,106.80706787109375
2012-07-27,108.77584838867188
2012-07-30,108.77584838867188
2012-07-31,108.01496887207031
2012-08-01,107.92089080810547
2012-08-02,107.17570495605469
2012-08-03,109.30137634277344
2012-08-06,109.5131607055664
2012-08-07,110.06219482421875
2012-08-08,110.19550323486328
2012-08-09,110.2896728515625
2012-08-10,110.47005462646484
2012-08-13,110.41516876220703
2012-08-14,110.43086242675781
2012-08-15,110.55636596679688
2012-08-16,111.37208557128906
2012-08-17,111.5210952758789
2012-08-20,111.52899169921875
2012-08-21,111.19171142578125
2012-08-22,111.23875427246094
2012-08-23,110.328857421875
2012-08-24,110.99555206298828
2012-08-27,111.01912689208984
2012-08-28,110.90929412841797
2012-08-29,110.99555206298828
2012-08-30,110.19550323486328
2012-08-31,110.7210922241211
2012-09-04,110.61907958984375
2012-09-05,110.52496337890625
2012-09-06,112.76828002929688
2012-09-07,113.20747375488281
2012-09-10,112.56428527832031
2012-09-11,112.8780288696289
2012-09-12,113.2545394897461
2012-09-13,114.98015594482422
2012-09-14,115.49002075195312
2012-09-17,115.09778594970703
2012-09-18,115.00369262695312
2012-09-19,115.06642150878906
2012-09-20,115.07428741455078
2012-09-21,115.02616882324219
2012-09-24,114.85269927978516
2012-09-25,113.63050842285156
2012-09-26,112.99171447753906
2012-09-27,114.05625915527344
2012-09-28,113.52792358398438
2012-10-01,113.82758331298828
2012-10-02,113.94588470458984
2012-10-03,114.4111099243164
