date,open,high,low,close
2011-01-03,1257.6199951171875,1276.1700439453125,1257.6199951171875,1271.8699951171875
2011-01-04,1272.949951171875,1274.1199951171875,1262.6600341796875,1270.199951171875
2011-01-05,1268.780029296875,1277.6300048828125,1265.3599853515625,1276.56005859375
2011-01-06,1276.2900390625,1278.1700439453125,1270.4300537109375,1273.8499755859375
2011-01-07,1274.4100341796875,1276.8299560546875,1261.699951171875,1271.5
2011-01-10,1270.8399658203125,1271.52001953125,1262.1800537109375,1269.75
2011-01-11,1272.5799560546875,1277.25,1269.6199951171875,1274.47998046875
2011-01-12,1275.6500244140625,1286.8699951171875,1275.6500244140625,1285.9599609375
2011-01-13,1285.780029296875,1286.699951171875,1280.469970703125,1283.760009765625
2011-01-14,1282.9000244140625,1293.239990234375,1281.239990234375,1293.239990234375
2011-01-18,1293.219970703125,1296.06005859375,1290.1600341796875,1295.02001953125
2011-01-19,1294.52001953125,1294.5999755859375,1278.9200439453125,1281.9200439453125
2011-01-20,1280.8499755859375,1283.3499755859375,1271.260009765625,1280.260009765625
2011-01-21,1283.6300048828125,1291.2099609375,1282.0699462890625,1283.3499755859375
2011-01-24,1283.2900390625,1291.9300537109375,1282.469970703125,1290.8399658203125
2011-01-25,1288.1700439453125,1291.260009765625,1281.0699462890625,1291.1800537109375
2011-01-26,1291.969970703125,1299.739990234375,1291.969970703125,1296.6300048828125
2011-01-27,1297.510009765625,1301.2900390625,1294.4100341796875,1299.5400390625
2011-01-28,1299.6300048828125,1302.6700439453125,1275.0999755859375,1276.3399658203125
2011-01-31,1276.5,1287.1700439453125,1276.5,1286.1199951171875
2011-02-01,1289.1400146484375,1308.8599853515625,1289.1400146484375,1307.5899658203125
2011-02-02,1305.9100341796875,1307.6099853515625,1302.6199951171875,1304.030029296875
2011-02-03,1302.77001953125,1308.5999755859375,1294.8299560546875,1307.0999755859375
2011-02-04,1307.010009765625,1311.0,1301.6700439453125,1310.8699951171875
2011-02-07,1311.8499755859375,1322.8499755859375,1311.8499755859375,1319.050048828125
2011-02-08,1318.760009765625,1324.8699951171875,1316.030029296875,1324.5699462890625
2011-02-09,1322.47998046875,1324.5400390625,1314.8900146484375,1320.8800048828125
2011-02-10,1318.1300048828125,1322.780029296875,1311.739990234375,1321.8699951171875
2011-02-11,1318.6600341796875,1330.7900390625,1316.0799560546875,1329.1500244140625
2011-02-14,1328.72998046875,1332.9599609375,1326.9000244140625,1332.3199462890625
2011-02-15,1330.4300537109375,1330.4300537109375,1324.6099853515625,1328.010009765625
2011-02-16,1329.510009765625,1337.6099853515625,1329.510009765625,1336.3199462890625
