week_end,entry,exp,short_k,wing_k,credit,settle,payout,pnl,bid_size,dist_pct
2020-05-01,2020-04-27,2020-05-01,2650.0,2625.0,0.3999999999999999,2830.71,0.0,37.35999999999999,300,0.06582908549955223
2020-05-08,2020-05-04,2020-05-08,2650.0,2625.0,1.7000000000000002,2929.8,0.0,167.36000000000004,48,0.06383910750306461
2020-05-15,2020-05-11,2020-05-15,2750.0,2725.0,0.8999999999999999,2863.7,0.0,87.35999999999999,447,0.06136937674926622
2020-05-22,2020-05-18,2020-05-22,2685.0,2660.0,0.19999999999999996,2955.45,0.0,17.359999999999996,31,0.06240178789677684
2020-05-29,2020-05-26,2020-05-29,2780.0,2755.0,0.04999999999999999,3044.31,0.0,2.359999999999999,47,0.05936490212996323
2020-06-05,2020-06-01,2020-06-05,2875.0,2850.0,1.0,3193.93,0.0,97.36,51,0.055615229723648366
2020-06-12,2020-06-08,2020-06-12,3025.0,3000.0,0.4500000000000002,3041.31,0.0,42.360000000000014,243,0.052890952525571897
2020-06-19,2020-06-15,2020-06-19,2865.0,2840.0,3.0999999999999996,3097.74,0.0,307.35999999999996,3,0.05797172928770824
2020-06-26,2020-06-22,2020-06-26,2920.0,2895.0,1.2999999999999998,3009.05,0.0,127.35999999999997,257,0.057377313783597006
2020-07-03,2020-06-29,2020-07-02,2835.0,2810.0,1.0,3130.01,0.0,97.36,338,0.05784217610209208
2020-07-10,2020-07-06,2020-07-10,2955.0,2930.0,0.1499999999999999,3185.04,0.0,12.35999999999999,409,0.05591355938159948
2020-07-17,2020-07-13,2020-07-17,3020.0,2995.0,0.5500000000000003,3224.73,0.0,52.36000000000003,169,0.05181724562328886
2020-07-24,2020-07-20,2020-07-24,3060.0,3035.0,0.6000000000000001,3215.63,0.0,57.36000000000001,371,0.051083346512731304
2020-07-31,2020-07-27,2020-07-31,3060.0,3035.0,0.55,3271.12,0.0,52.36000000000001,245,0.048397981111010936
2020-08-07,2020-08-03,2020-08-07,3120.0,3095.0,0.4500000000000002,3351.28,0.0,42.360000000000014,159,0.046198244026510765
2020-08-14,2020-08-10,2020-08-14,3205.0,3180.0,0.40000000000000013,3372.85,0.0,37.360000000000014,253,0.04364899381728778
2020-08-21,2020-08-17,2020-08-21,3235.0,3210.0,0.30000000000000004,3397.16,0.0,27.360000000000003,501,0.04087048045421525
2020-08-28,2020-08-24,2020-08-28,3265.0,3240.0,0.30000000000000004,3508.01,0.0,27.360000000000003,252,0.03890308375231071
2020-09-04,2020-08-31,2020-09-04,3375.0,3350.0,0.8499999999999996,3426.96,0.0,82.35999999999997,556,0.0379160834775272
2020-09-11,2020-09-08,2020-09-11,3290.0,3265.0,4.300000000000001,3340.97,0.0,427.36000000000007,16,0.03996545042836801
