week_end,entry,exp,short_k,wing_k,credit,settle,payout,pnl,bid_size,dist_pct
2012-06-08,2012-06-04,2012-06-08,1245.0,1195.0,3.2499999999999996,1325.6600341796875,0.0,322.35999999999996,129,0.025852115780923703
2012-06-22,2012-06-18,2012-06-22,1310.0,1260.0,3.15,1335.02001953125,0.0,312.36,87,0.02445560651767708
2012-07-06,2012-07-02,2012-07-06,1330.0,1280.0,1.2,1354.6800537109375,0.0,117.36,2,0.023609585784870525
2012-07-13,2012-07-09,2012-07-13,1320.0,1270.0,1.95,1356.780029296875,0.0,192.36,164,0.025600180364313205
2012-07-27,2012-07-23,2012-07-27,1330.0,1280.0,6.750000000000001,1385.969970703125,0.0,672.3600000000001,43,0.023967852113127124
2012-08-03,2012-07-30,2012-08-03,1355.0,1305.0,2.15,1390.989990234375,0.0,212.36,52,0.022345340344865794
2012-08-10,2012-08-06,2012-08-10,1360.0,1310.0,0.6499999999999999,1405.8699951171875,0.0,62.359999999999985,778,0.022279089319077947
2012-08-24,2012-08-20,2012-08-24,1390.0,1340.0,1.15,1411.1300048828125,0.0,112.35999999999999,197,0.01985673936720141
2012-08-31,2012-08-27,2012-08-31,1380.0,1330.0,0.95,1406.5799560546875,0.0,92.36,289,0.022060338009323027
2012-09-07,2012-09-04,2012-09-07,1380.0,1330.0,1.65,1437.9200439453125,0.0,162.36,1,0.01889686820878747
2012-09-14,2012-09-10,2012-09-14,1410.0,1360.0,1.6999999999999997,1465.77001953125,0.0,167.35999999999999,246,0.019416965541913238
2012-10-05,2012-10-01,2012-10-05,1410.0,1360.0,0.25,1460.9300537109375,0.0,22.36,2,0.02128873580332231
2012-10-12,2012-10-08,2012-10-12,1435.0,1385.0,1.7999999999999998,1428.5899658203125,6.4100341796875,-463.64341796875,130,0.01774900423539926
2012-10-26,2012-10-22,2012-10-26,1405.0,1355.0,2.25,1411.93994140625,0.0,222.36,93,0.01966936872204807
2012-11-02,2012-10-31,2012-11-02,1385.0,1335.0,0.6499999999999999,1414.199951171875,0.0,62.359999999999985,137,0.019080090176795073
2012-11-09,2012-11-05,2012-11-09,1385.0,1335.0,3.85,1379.8499755859375,5.1500244140625,-132.64244140625,23,0.02064768220906704
2012-11-23,2012-11-19,2012-11-23,1330.0,1280.0,0.15,1409.1500244140625,0.0,12.36,11,0.0219725304994005
2012-11-30,2012-11-26,2012-11-30,1380.0,1330.0,2.45,1416.1800537109375,0.0,242.36000000000004,25,0.020686246254144124
2012-12-07,2012-12-03,2012-12-07,1385.0,1335.0,1.25,1418.0699462890625,0.0,122.36,1,0.02201701233486077
2012-12-14,2012-12-10,2012-12-14,1390.0,1340.0,1.9499999999999997,1413.5799560546875,0.0,192.35999999999999,150,0.019794472312538988
2012-12-28,2012-12-24,2012-12-28,1400.0,1350.0,2.65,1402.4300537109375,0.0,262.36,127,0.021081721427383165
2013-01-04,2012-12-31,2013-01-04,1375.0,1325.0,4.800000000000001,1466.469970703125,0.0,477.36000000000007,122,0.01955894601542193
2013-01-11,2013-01-07,2013-01-11,1435.0,1385.0,1.4000000000000001,1472.050048828125,0.0,137.36,73,0.021459676182824367
2013-01-25,2013-01-22,2013-01-25,1460.0,1410.0,0.7,1502.9599609375,0.0,67.36,128,0.0174833987067273
2013-02-01,2013-01-28,2013-02-01,1475.0,1425.0,1.2,1513.1700439453125,0.0,117.36,38,0.01860326400182972
2013-02-08,2013-02-04,2013-02-08,1485.0,1435.0,1.3,1517.9300537109375,0.0,127.36,36,0.018616575221026905
2013-02-22,2013-02-19,2013-02-22,1495.0,1445.0,0.4,1515.5999755859375,0.0,37.36,172,0.016311489367170758
2013-03-01,2013-02-25,2013-03-01,1490.0,1440.0,1.35,1518.199951171875,0.0,132.36,134,0.016890984427497393
2013-03-08,2013-03-04,2013-03-08,1495.0,1445.0,2.85,1551.1800537109375,0.0,282.36,97,0.01528122244633674
2013-03-22,2013-03-18,2013-03-22,1535.0,1485.0,2.9,1556.8900146484375,0.0,287.36,79,0.01646693917852551
2013-04-05,2013-04-01,2013-04-05,1545.0,1495.0,1.4,1553.280029296875,0.0,137.36,65,0.015415559817170297
2013-04-12,2013-04-08,2013-04-12,1530.0,1480.0,3.1500000000000004,1588.8499755859375,0.0,312.36000000000007,80,0.014987657639178685
2013-04-26,2013-04-22,2013-04-26,1530.0,1480.0,2.5999999999999996,1582.239990234375,0.0,257.35999999999996,112,0.01623533194020254
2013-05-03,2013-04-29,2013-05-03,1555.0,1505.0,0.65,1614.4200439453125,0.0,62.36,11,0.017216092629753328
2013-05-10,2013-05-06,2013-05-10,1585.0,1535.0,1.2,1633.699951171875,0.0,117.36,452,0.01822328956807048
2013-05-24,2013-05-20,2013-05-24,1640.0,1590.0,2.1999999999999997,1649.5999755859375,0.0,217.35999999999999,50,0.016474042223106236
2013-05-31,2013-05-28,2013-05-31,1620.0,1570.0,0.35,1630.739990234375,0.0,32.36,1,0.01794372940350196
2013-06-07,2013-06-03,2013-06-07,1605.0,1555.0,2.05,1643.3800048828125,0.0,202.35999999999999,10,0.01578423929536159
2013-06-14,2013-06-10,2013-06-14,1615.0,1565.0,2.3,1626.72998046875,0.0,227.35999999999999,80,0.017269289390457347
2013-07-05,2013-07-01,2013-07-05,1575.0,1525.0,1.15,1631.8900146484375,0.0,112.35999999999999,28,0.019473584136240157
2013-07-12,2013-07-08,2013-07-12,1600.0,1550.0,1.1,1680.18994140625,0.0,107.36000000000001,59,0.019541767130248452
2013-07-26,2013-07-22,2013-07-26,1660.0,1610.0,1.0,1691.6500244140625,0.0,97.36,100,0.018964692462292054
2013-08-02,2013-07-29,2013-08-02,1660.0,1610.0,1.75,1709.6700439453125,0.0,172.36,54,0.01870955809847556
2013-08-09,2013-08-05,2013-08-09,1680.0,1630.0,1.3,1691.4200439453125,0.0,127.36,58,0.017354251512089757
2013-08-23,2013-08-19,2013-08-23,1625.0,1575.0,2.05,1663.5,0.0,202.35999999999999,482,0.01861903508989861
2013-08-30,2013-08-26,2013-08-30,1635.0,1585.0,1.15,1632.969970703125,2.030029296875,-90.64292968750001,630,0.017132551848512173
2013-09-06,2013-09-03,2013-09-06,1605.0,1555.0,0.55,1655.1700439453125,0.0,52.36000000000001,20,0.01712828233521139
2013-09-13,2013-09-09,2013-09-13,1625.0,1575.0,1.45,1687.989990234375,0.0,142.36,28,0.01822776098182534
2013-09-27,2013-09-23,2013-09-27,1680.0,1630.0,2.25,1691.75,0.0,222.36,276,0.017492168349100626
2013-10-04,2013-09-30,2013-10-04,1665.0,1615.0,6.75,1690.5,0.0,672.36,77,0.015812028964090438
2013-10-11,2013-10-07,2013-10-11,1665.0,1615.0,6.25,1703.199951171875,0.0,622.36,49,0.015084294587400177
2013-10-25,2013-10-21,2013-10-25,1715.0,1665.0,0.6500000000000001,1759.77001953125,0.0,62.360000000000014,68,0.016910289481226713
2013-11-01,2013-10-28,2013-11-01,1730.0,1680.0,1.25,1761.6400146484375,0.0,122.36,35,0.01691699438042469
2013-11-08,2013-11-04,2013-11-08,1735.0,1685.0,1.4000000000000001,1770.6099853515625,0.0,137.36,50,0.015122280617447218
2013-11-22,2013-11-18,2013-11-22,1770.0,1720.0,1.4,1804.760009765625,0.0,137.36,41,0.01567143048482926
2013-11-29,2013-11-25,2013-11-29,1780.0,1730.0,0.7499999999999999,1805.81005859375,0.0,72.35999999999999,100,0.01371928102996944
2013-12-06,2013-12-02,2013-12-06,1780.0,1730.0,2.3499999999999996,1805.0899658203125,0.0,232.35999999999999,108,0.014292787035337056
2013-12-13,2013-12-09,2013-12-13,1780.0,1730.0,1.25,1775.3199462890625,4.6800537109375,-345.64537109375,25,0.013899565282282488
2013-12-27,2013-12-23,2013-12-27,1790.0,1740.0,0.35,1841.4000244140625,0.0,32.36,278,0.01557478723524953
2014-01-03,2013-12-30,2014-01-03,1815.0,1765.0,0.9,1831.3699951171875,0.0,87.36,76,0.014336930631063201
2014-01-10,2014-01-06,2014-01-10,1805.0,1755.0,1.65,1842.3699951171875,0.0,162.36,73,0.014399053816266173
2014-01-24,2014-01-21,2014-01-24,1815.0,1765.0,0.7500000000000001,1790.2900390625,24.7099609375,-2398.63609375,178,0.012889515310407279
2014-01-31,2014-01-27,2014-01-31,1765.0,1715.0,3.75,1782.5899658203125,0.0,372.36,50,0.014126224528257632
2014-02-07,2014-02-03,2014-02-07,1755.0,1705.0,5.550000000000001,1797.02001953125,0.0,552.3600000000001,10,0.015477460520550022
2014-02-14,2014-02-10,2014-02-14,1770.0,1720.0,3.25,1838.6300048828125,0.0,322.36,210,0.015036014756417757
2014-02-28,2014-02-24,2014-02-28,1810.0,1760.0,0.7,1859.449951171875,0.0,67.36,236,0.014295439074200136
2014-03-07,2014-03-03,2014-03-07,1830.0,1780.0,4.8999999999999995,1878.0400390625,0.0,487.35999999999996,70,0.015837990774268947
2014-03-14,2014-03-10,2014-03-14,1850.0,1800.0,2.3499999999999996,1841.1300048828125,8.8699951171875,-654.63951171875,74,0.014930479904196997
2014-03-28,2014-03-24,2014-03-28,1835.0,1785.0,2.4,1857.6199951171875,0.0,237.36,154,0.01688705141194564
2014-04-04,2014-03-31,2014-04-04,1830.0,1780.0,1.55,1865.0899658203125,0.0,152.36,158,0.014868485045266267
2014-04-11,2014-04-07,2014-04-11,1835.0,1785.0,3.3499999999999996,1815.68994140625,19.31005859375,-1598.645859375,116,0.016133251677796782
2014-04-25,2014-04-21,2014-04-25,1835.0,1785.0,1.6,1863.4000244140625,0.0,157.36,154,0.01600663644621514
2014-05-02,2014-04-28,2014-05-02,1835.0,1785.0,2.7,1881.1400146484373,0.0,267.36,75,0.01524097029192256
2014-05-09,2014-05-05,2014-05-09,1850.0,1800.0,2.9,1878.47998046875,0.0,287.36,22,0.016553799507718712
2014-05-23,2014-05-19,2014-05-23,1850.0,1800.0,1.65,1900.530029296875,0.0,162.36,125,0.014836029080382535
2014-05-30,2014-05-27,2014-05-30,1870.0,1820.0,0.14999999999999997,1923.5699462890625,0.0,12.359999999999996,35,0.016063955226305986
2014-06-13,2014-06-09,2014-06-13,1920.0,1870.0,0.8,1936.1600341796875,0.0,77.36,381,0.015101743214009032
2014-06-27,2014-06-23,2014-06-27,1935.0,1885.0,0.65,1960.9599609375,0.0,62.36,10,0.01419859450015364
2014-07-04,2014-06-30,2014-07-03,1935.0,1885.0,1.05,1985.43994140625,0.0,102.36,62,0.01323839418173995
2014-07-11,2014-07-07,2014-07-11,1960.0,1910.0,1.9500000000000002,1967.5699462890625,0.0,192.36000000000004,127,0.012813251549795741
2014-07-25,2014-07-21,2014-07-25,1950.0,1900.0,2.6,1978.3399658203125,0.0,257.36,299,0.014265335059323401
2014-08-01,2014-07-28,2014-08-01,1950.0,1900.0,3.25,1925.1500244140625,24.8499755859375,-2162.63755859375,81,0.014325124250604431
2014-08-08,2014-08-04,2014-08-08,1895.0,1845.0,3.3500000000000005,1931.5899658203125,0.0,332.36000000000007,108,0.01566112979856671
2014-08-22,2014-08-18,2014-08-22,1925.0,1875.0,1.1,1988.4000244140625,0.0,107.36000000000001,31,0.015375516706822715
2014-08-29,2014-08-25,2014-08-29,1960.0,1910.0,0.44999999999999996,2003.3699951171875,0.0,42.35999999999999,10,0.014282852577630277
2014-09-05,2014-09-02,2014-09-05,1975.0,1925.0,0.85,2007.7099609375,0.0,82.36,10,0.014161136078873933
2014-09-12,2014-09-08,2014-09-12,1980.0,1930.0,1.5,1985.5400390625,0.0,147.36,247,0.013801774896091483
2014-09-26,2014-09-22,2014-09-26,1985.0,1935.0,2.75,1982.8499755859373,2.1500244140627274,57.35755859372726,247,0.012634313621969546
2014-10-03,2014-09-29,2014-10-03,1955.0,1905.0,6.5,1967.9000244140625,0.0,647.36,37,0.014045427505279382
2014-10-10,2014-10-06,2014-10-10,1940.0,1890.0,2.2,1906.1300048828125,33.8699951171875,-3169.63951171875,152,0.01417756190250044
2014-10-24,2014-10-20,2014-10-24,1855.0,1805.0,5.299999999999999,1964.5799560546875,0.0,527.3599999999999,97,0.01683309461788426
2014-10-31,2014-10-27,2014-10-31,1930.0,1880.0,4.65,2018.050048828125,0.0,462.36000000000007,60,0.017601704602612216
2014-11-07,2014-11-03,2014-11-07,1980.0,1930.0,2.15,2031.9200439453125,0.0,212.36,1,0.018854858852594136
2014-11-14,2014-11-10,2014-11-14,1995.0,1945.0,1.15,2039.8199462890625,0.0,112.35999999999999,107,0.018170027927686593
2014-11-28,2014-11-24,2014-11-28,2030.0,1980.0,0.45000000000000007,2067.56005859375,0.0,42.36000000000001,246,0.016234552944027137
2014-12-05,2014-12-01,2014-12-05,2035.0,1985.0,3.1499999999999995,2075.3701171875,0.0,312.35999999999996,1,0.015748059389334358
2014-12-12,2014-12-08,2014-12-12,2045.0,1995.0,1.5,2002.3299560546875,42.6700439453125,-4119.64439453125,28,0.014633590864581289
2014-12-26,2014-12-22,2014-12-26,2035.0,1985.0,1.0,2088.77001953125,0.0,97.36,82,0.01721676962551622
2015-01-02,2014-12-29,2015-01-02,2055.0,2005.0,1.2999999999999998,2058.199951171875,0.0,127.35999999999997,158,0.016167418727519117
