date,open,high,low,close,atr_prev,prev_close
2020-05-01,2854.65,2954.86,2821.61,2830.71,186.46125510724312,2836.74
2020-05-08,2815.01,2932.16,2797.85,2929.8,182.66045117101146,2830.71
2020-05-15,2915.46,2945.82,2766.64,2863.7,179.20684751593922,2929.8
2020-05-22,2913.86,2980.29,2913.86,2955.45,179.2049298362293,2863.7
2020-05-29,3004.08,3068.67,2969.75,3044.31,174.7324348479272,2955.45
2020-06-05,3038.78,3211.72,3031.54,3193.93,170.3386895016467,3044.31
2020-06-12,3199.92,3233.13,2984.47,3041.31,171.04164025152906,3193.93
2020-06-19,2993.76,3155.53,2965.66,3097.74,176.58580880499127,3041.31
2020-06-26,3094.42,3154.9,3004.63,3009.05,177.5346796046348,3097.74
2020-07-03,3018.59,3165.81,2999.74,3130.01,175.58720249001803,3009.05
2020-07-10,3155.29,3186.82,3115.7,3185.04,174.9074023121596,3130.01
2020-07-17,3205.08,3238.28,3127.66,3224.73,167.49401643271966,3185.04
2020-07-24,3224.29,3279.99,3200.05,3215.63,163.43158668752542,3224.73
2020-07-31,3219.84,3272.17,3204.13,3271.12,157.46790192413073,3215.63
2020-08-07,3288.26,3352.54,3284.53,3351.28,151.08019464383565,3271.12
2020-08-14,3356.04,3387.89,3326.44,3372.85,146.10446645499024,3351.28
2020-08-21,3380.86,3399.96,3354.69,3397.16,140.05771885106236,3372.85
2020-08-28,3418.09,3509.23,3413.13,3508.01,133.2871675045579,3397.16
2020-09-04,3509.73,3588.11,3349.63,3426.96,131.77165553994666,3508.01
2020-09-11,3371.88,3425.55,3310.47,3340.97,139.3936801442362,3426.96
2020-09-18,3363.56,3428.92,3292.4,3319.47,137.7577029910765,3340.97
2020-09-25,3285.57,3323.35,3209.45,3298.46,137.66929563457106,3319.47
2020-10-02,3333.9,3397.18,3323.69,3348.42,135.9714888035303,3298.46
2020-10-09,3367.27,3482.34,3354.54,3477.14,133.31066817470668,3348.42
2020-10-16,3500.02,3549.85,3440.89,3483.81,133.35419187651334,3477.14
2020-10-23,3493.66,3502.42,3415.34,3465.39,131.61174959961954,3483.81
2020-10-30,3441.42,3441.42,3233.94,3269.96,128.43091034250386,3465.39
2020-11-06,3296.2,3529.05,3279.74,3509.44,135.78941674661073,3269.96
2020-11-13,3583.04,3645.99,3511.91,3585.15,144.59660126470996,3509.44
2020-11-20,3600.16,3628.51,3543.84,3557.54,144.02184403151637,3585.15
2020-11-27,3566.82,3644.31,3552.77,3638.35,139.78242660069378,3557.54
2020-12-04,3634.18,3699.2,3594.39,3699.12,136.3365389863585,3638.35
2020-12-11,3694.73,3712.39,3633.4,3663.46,134.08464334447575,3699.12
2020-12-18,3675.27,3726.7,3645.84,3709.41,130.14931167701317,3663.46
2020-12-25,3684.28,3711.24,3636.48,3703.06,126.62864655722649,3709.41
2021-01-01,3723.03,3760.2,3723.03,3756.07,122.9237432317103,3703.06
2021-01-08,3764.61,3826.69,3662.71,3824.68,118.22490442944527,3756.07
2021-01-15,3803.14,3823.6,3749.62,3768.25,121.49312554162776,3824.68
2021-01-22,3781.88,3861.45,3780.37,3841.47,118.17647371722578,3768.25
2021-01-29,3851.68,3870.9,3694.12,3714.24,116.39243988028107,3841.47
2021-02-05,3731.17,3894.56,3725.62,3886.83,120.70583703168958,3714.24
2021-02-12,3892.59,3937.23,3884.94,3934.83,124.96399152942605,3886.83
2021-02-19,3939.61,3950.43,3885.03,3906.71,119.77299213446705,3934.83
2021-02-26,3885.55,3928.65,3789.54,3811.15,115.88920698200509,3906.71
2021-03-05,3842.51,3914.5,3723.34,3841.94,117.54783505471903,3811.15
2021-03-12,3844.39,3960.27,3819.25,3943.34,122.80584683652481,3841.94
2021-03-19,3942.96,3983.87,3886.75,3913.1,124.10685777677304,3943.34
2021-03-26,3916.48,3978.19,3853.5,3974.54,122.1792250784321,3913.1
2021-04-02,3969.31,4020.63,3943.25,4019.87,122.35856614425839,3974.54
2021-04-09,4034.44,4129.48,4034.44,4128.8,119.14581141966852,4019.87
2021-04-16,4124.71,4191.31,4114.82,4185.47,118.46468203254932,4128.8
2021-04-23,4179.8,4194.17,4118.38,4180.17,115.46649045879586,4185.47
2021-04-30,4185.03,4218.78,4174.85,4181.17,112.63245542602473,4180.17
2021-05-07,4191.98,4238.04,4128.59,4232.6,107.72513718130864,4181.17
2021-05-14,4228.29,4236.39,4056.88,4173.85,107.84834166835802,4232.6
2021-05-21,4169.92,4188.72,4061.41,4155.86,112.96703154918961,4173.85
2021-05-28,4170.16,4218.36,4170.16,4204.11,113.9915292956761,4155.86
2021-06-04,4216.52,4234.12,4167.93,4229.89,110.31356291741352,4204.11
2021-06-11,4229.34,4249.74,4208.41,4247.44,107.16187985188397,4229.89
2021-06-18,4248.31,4257.16,4164.4,4166.45,102.45960271960654,4247.44
2021-06-25,4173.4,4286.12,4173.4,4280.7,101.76677395392036,4166.45
2021-07-02,4284.9,4355.43,4274.67,4352.34,103.04557581435463,4280.7
2021-07-09,4356.46,4371.6,4289.37,4369.55,101.45374897047219,4352.34
2021-07-16,4372.41,4393.68,4322.53,4327.16,100.08062404400994,4369.55
2021-07-23,4296.4,4415.18,4233.13,4411.79,98.01415089800928,4327.16
2021-07-30,4409.58,4429.97,4372.51,4395.26,104.01671154815148,4411.79
2021-08-06,4406.86,4440.82,4373.0,4436.52,100.69123215185496,4395.26
2021-08-13,4437.77,4468.37,4424.74,4468.0,98.34328699815102,4436.52
2021-08-20,4461.65,4480.26,4367.73,4441.67,94.43519506971167,4468.0
2021-08-27,4450.29,4513.33,4450.29,4509.37,95.72768113616088,4441.67
2021-09-03,4513.76,4545.85,4513.76,4535.43,94.00856105500652,4509.37
2021-09-10,4535.38,4535.38,4457.66,4458.58,89.89937812250609,4535.43
2021-09-17,4474.81,4492.99,4427.76,4432.99,89.03299397089856,4458.58
2021-09-24,4402.95,4465.4,4305.91,4455.48,87.33278011583435,4432.99
2021-10-01,4442.12,4457.3,4288.52,4357.04,92.4868672504176,4455.48
2021-10-08,4348.84,4429.97,4278.94,4391.34,97.93637673253062,4357.04
2021-10-15,4385.44,4475.82,4329.92,4471.37,101.72877839449276,4391.34
2021-10-22,4463.72,4559.67,4447.47,4544.9,104.88386565202897,4471.37
2021-10-29,4553.69,4608.08,4537.36,4605.38,105.40644667688404,4544.9
2021-11-05,4610.62,4718.5,4595.06,4697.53,102.92884334282091,4605.38
2021-11-12,4701.48,4714.92,4630.86,4682.85,104.39392596119082,4697.53
2021-11-19,4689.3,4717.75,4672.78,4697.96,102.94150267824865,4682.85
2021-11-26,4712.0,4743.83,4585.43,4594.62,98.80068105837377,4697.96
2021-12-03,4628.75,4672.95,4495.12,4538.43,103.0577752684899,4594.62
