level,fib,full_n,full_close_above,full_close_below,full_touch_above,full_touch_below,2025p_n,2025p_close_above,2025p_close_below,2025p_touch_above,2025p_touch_below
trigger,0.236,329,0.46808510638297873,0.2948328267477204,0.7051671732522796,0.6109422492401215,85,0.43529411764705883,0.2823529411764706,0.7058823529411765,0.6705882352941176
0382,0.382,329,0.3525835866261398,0.24620060790273557,0.5653495440729484,0.48024316109422494,85,0.35294117647058826,0.25882352941176473,0.6,0.49411764705882355
0618,0.618,329,0.20364741641337386,0.16717325227963525,0.3525835866261398,0.3343465045592705,85,0.21176470588235294,0.2,0.36470588235294116,0.3411764705882353
0786,0.786,329,0.1458966565349544,0.11550151975683891,0.2188449848024316,0.24620060790273557,85,0.1411764705882353,0.10588235294117647,0.2235294117647059,0.23529411764705882
100,1.0,329,0.0729483282674772,0.0486322188449848,0.10638297872340426,0.1337386018237082,85,0.10588235294117647,0.047058823529411764,0.12941176470588237,0.15294117647058825
