date,open,high,low,close
2011-01-03,2238.659912109375,2268.300048828125,2237.7900390625,2254.22998046875
2011-01-04,2261.64990234375,2263.030029296875,2237.72998046875,2251.4599609375
2011-01-05,2245.39990234375,2271.080078125,2243.8798828125,2270.39990234375
2011-01-06,2272.330078125,2279.449951171875,2268.590087890625,2277.510009765625
2011-01-07,2280.1298828125,2282.8701171875,2254.219970703125,2276.699951171875
2011-01-10,2270.64990234375,2288.639892578125,2265.0,2284.3798828125
2011-01-11,2294.659912109375,2296.14990234375,2279.47998046875,2288.72998046875
2011-01-12,2298.6298828125,2304.8798828125,2289.050048828125,2304.8798828125
2011-01-13,2303.60009765625,2310.820068359375,2298.6201171875,2305.530029296875
2011-01-14,2304.3701171875,2323.429931640625,2300.25,2323.429931640625
2011-01-18,2300.929931640625,2331.320068359375,2299.3701171875,2328.7900390625
2011-01-19,2329.929931640625,2331.6298828125,2294.889892578125,2303.320068359375
2011-01-20,2292.169921875,2295.239990234375,2268.590087890625,2286.080078125
2011-01-21,2295.14990234375,2301.050048828125,2267.169921875,2268.320068359375
2011-01-24,2271.72998046875,2300.389892578125,2268.719970703125,2300.389892578125
2011-01-25,2288.5,2304.0400390625,2283.7900390625,2304.030029296875
2011-01-26,2306.989990234375,2321.219970703125,2300.110107421875,2314.18994140625
2011-01-27,2322.330078125,2336.0400390625,2319.22998046875,2330.070068359375
2011-01-28,2330.070068359375,2330.070068359375,2260.60009765625,2270.510009765625
2011-01-31,2274.219970703125,2287.5,2258.050048828125,2281.909912109375
2011-02-01,2298.3701171875,2329.340087890625,2296.739990234375,2324.949951171875
2011-02-02,2317.889892578125,2328.800048828125,2316.219970703125,2321.090087890625
2011-02-03,2316.669921875,2327.239990234375,2297.7900390625,2323.070068359375
2011-02-04,2324.179931640625,2338.659912109375,2318.27001953125,2338.199951171875
2011-02-07,2340.43994140625,2360.820068359375,2338.8701171875,2349.199951171875
2011-02-08,2348.530029296875,2363.760009765625,2344.860107421875,2363.610107421875
2011-02-09,2359.81005859375,2367.18994140625,2352.4599609375,2360.949951171875
2011-02-10,2343.7900390625,2366.280029296875,2341.81005859375,2364.35009765625
2011-02-11,2357.77001953125,2381.39990234375,2353.280029296875,2379.14990234375
2011-02-14,2379.52001953125,2388.6298828125,2378.159912109375,2385.60009765625
2011-02-15,2380.159912109375,2384.81005859375,2371.18994140625,2381.919921875
2011-02-16,2389.510009765625,2403.52001953125,2387.659912109375,2397.93994140625
2011-02-17,2384.68994140625,2400.889892578125,2384.219970703125,2397.570068359375
2011-02-18,2396.75,2400.469970703125,2382.389892578125,2392.469970703125
2011-02-22,2353.81005859375,2366.429931640625,2318.39990234375,2322.860107421875
2011-02-23,2321.43994140625,2329.1298828125,2284.64990234375,2300.93994140625
2011-02-24,2306.93994140625,2321.199951171875,2285.43994140625,2313.31005859375
2011-02-25,2326.1298828125,2349.510009765625,2325.7099609375,2346.2900390625
2011-02-28,2354.8701171875,2362.7900390625,2338.2099609375,2350.989990234375
2011-03-01,2359.780029296875,2359.97998046875,2308.050048828125,2315.260009765625
2011-03-02,2314.280029296875,2340.800048828125,2311.989990234375,2326.77001953125
2011-03-03,2350.52001953125,2375.669921875,2350.179931640625,2371.760009765625
2011-03-04,2370.340087890625,2371.22998046875,2344.6201171875,2359.9599609375
2011-03-07,2367.919921875,2370.909912109375,2307.389892578125,2328.070068359375
2011-03-08,2325.1298828125,2347.510009765625,2310.9599609375,2337.550048828125
2011-03-09,2328.800048828125,2330.679931640625,2309.280029296875,2322.68994140625
2011-03-10,2295.090087890625,2300.530029296875,2276.1201171875,2284.2900390625
2011-03-11,2275.2900390625,2305.969970703125,2275.070068359375,2299.260009765625
2011-03-14,2286.77001953125,2302.919921875,2274.080078125,2290.719970703125
2011-03-15,2218.300048828125,2271.580078125,2217.429931640625,2259.6201171875
2011-03-16,2240.830078125,2252.1298828125,2188.919921875,2202.969970703125
2011-03-17,2238.85009765625,2247.929931640625,2223.1298828125,2225.239990234375
2011-03-18,2249.179931640625,2249.389892578125,2217.949951171875,2221.070068359375
2011-03-21,2250.889892578125,2273.110107421875,2249.4599609375,2262.699951171875
2011-03-22,2264.070068359375,2266.090087890625,2253.080078125,2257.9599609375
2011-03-23,2251.489990234375,2276.6201171875,2234.93994140625,2270.5
2011-03-24,2287.010009765625,2315.56005859375,2275.64990234375,2312.090087890625
2011-03-25,2319.070068359375,2331.6298828125,2314.02001953125,2316.360107421875
2011-03-28,2325.1298828125,2326.1201171875,2303.06005859375,2303.10009765625
2011-03-29,2299.27001953125,2325.5400390625,2291.780029296875,2325.5400390625
2011-03-30,2338.409912109375,2340.389892578125,2326.7900390625,2336.52001953125
2011-03-31,2332.739990234375,2342.239990234375,2329.6201171875,2338.989990234375
2011-04-01,2352.469970703125,2359.159912109375,2334.949951171875,2342.919921875
2011-04-04,2347.7099609375,2350.340087890625,2324.02001953125,2334.5400390625
2011-04-05,2330.1201171875,2342.340087890625,2323.409912109375,2327.8701171875
2011-04-06,2343.3701171875,2352.25,2320.320068359375,2332.340087890625
2011-04-07,2331.739990234375,2346.860107421875,2315.830078125,2332.8798828125
2011-04-08,2342.739990234375,2345.409912109375,2313.330078125,2321.179931640625
2011-04-11,2330.260009765625,2333.97998046875,2305.530029296875,2314.5
2011-04-12,2302.889892578125,2308.199951171875,2288.679931640625,2298.300048828125
2011-04-13,2312.800048828125,2322.60009765625,2298.820068359375,2316.6298828125
2011-04-14,2301.27001953125,2315.219970703125,2291.7900390625,2311.25
2011-04-15,2304.4599609375,2316.820068359375,2293.530029296875,2307.580078125
2011-04-18,2281.919921875,2293.080078125,2254.8798828125,2292.340087890625
2011-04-19,2297.0,2306.77001953125,2286.590087890625,2306.77001953125
2011-04-20,2344.2099609375,2360.68994140625,2344.2099609375,2357.760009765625
2011-04-21,2381.199951171875,2381.199951171875,2370.280029296875,2377.300048828125
2011-04-25,2377.909912109375,2385.030029296875,2375.1201171875,2383.719970703125
2011-04-26,2389.239990234375,2405.22998046875,2384.800048828125,2396.030029296875
2011-04-27,2402.449951171875,2415.85009765625,2390.4599609375,2413.590087890625
2011-04-28,2404.9599609375,2411.97998046875,2398.929931640625,2409.89990234375
2011-04-29,2405.050048828125,2415.56005859375,2403.25,2404.080078125
2011-05-02,2410.239990234375,2417.830078125,2397.47998046875,2404.239990234375
2011-05-03,2401.800048828125,2404.1201171875,2377.330078125,2392.800048828125
2011-05-04,2392.159912109375,2398.4599609375,2367.679931640625,2387.510009765625
2011-05-05,2376.4599609375,2402.050048828125,2366.72998046875,2375.2099609375
2011-05-06,2395.919921875,2411.6298828125,2376.14990234375,2383.179931640625
2011-05-09,2384.199951171875,2399.679931640625,2376.9599609375,2390.969970703125
2011-05-10,2397.199951171875,2414.580078125,2394.840087890625,2411.35009765625
2011-05-11,2408.14990234375,2415.89990234375,2377.429931640625,2393.080078125
2011-05-12,2384.139892578125,2410.449951171875,2372.18994140625,2407.889892578125
2011-05-13,2403.06005859375,2406.010009765625,2378.760009765625,2379.239990234375
2011-05-16,2368.469970703125,2375.360107421875,2332.840087890625,2337.85009765625
2011-05-17,2325.860107421875,2343.72998046875,2320.330078125,2343.510009765625
2011-05-18,2340.68994140625,2366.39990234375,2337.47998046875,2362.949951171875
2011-05-19,2369.06005859375,2374.219970703125,2355.39990234375,2369.669921875
2011-05-20,2365.489990234375,2368.989990234375,2348.72998046875,2351.429931640625
2011-05-23,2318.159912109375,2325.860107421875,2306.429931640625,2316.780029296875
2011-05-24,2321.590087890625,2322.6298828125,2302.360107421875,2303.550048828125
